w1a,w1b,w1c,w1d,w1e,w1f,w1g,w1h,w1i,w1j,w1k,w1l,w1m,w1n,w1o,w1p,w1q,w1r,w1s,w1t,w1u,w1v,w1w,w1x,w1y,w1z,w1aa,w1ab,w2a,w2b,w2c,w2d,w2e,w2f,w2g,w2h,w2i,w2j,w2k,w2l,w2m,w2n,w2o,w2p,w2q,w2r,w2s,w2t,w2u,w2v,w2w,w2x,w2y,w2z,w2aa,w2ab
4,1,0,2,6.27,0,0,0,0.5,4,0.5,51,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,2,3.97,0,0,0,0.5,6,0.333333333,62,5,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,1,0,2,4.83,0,0,0,0.5,4,0.5,0,3,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,4.43,0,1,0,1,3,0.333333333,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1,0,2,5.23,0,0,0,0.5,4,0.5,51,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,4.7,0,0,0,1,4,0.25,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,3,0,4,2,0,0,1,0.75,3,0.444444444,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3.82,0,0,0,1,4,0.25,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,0,2,4.17,0,0,0,0.5,5,0.4,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,5.01,0,0,0,1,2.5,0.4,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4,1,0,1,4.57,0,0,0,1,4,0.25,44,3,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,1,3,4.09,0,0,0,0.666666667,3,0.5,0,7,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
4,1,0,2,4.5,0,0,0,0.5,4,0.5,54,5,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,5,1,0,1,5.95,0,0,0,1,5,0.2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2,0,2,3.43,0,0,0,1,3,0.333333333,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,2,4.69,0,0,0,0.5,5,0.4,0,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,1,0,1,4.21,0,1,0,1,4,0.25,0,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,2,6.27,0,0,0,0.5,4,0.5,51,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,0,1,3.58,0,0,0,1,3,0.333333333,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,3.93,0,1,0,0.5,5,0.4,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,2,4.55,0,0,0,0.5,5,0.4,66,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,3.37,0,0,0,0.5,4,0.5,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5,1,0,2,4.34,1,0,0,0.5,5,0.4,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,5.82,0,0,0,1,3,0.333333333,0,5,-1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4,1,0,1,3.92,0,0,0,1,4,0.25,29,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,2,4.06,0,0,0,0.5,4,0.5,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4,1,0,2,4.45,0,0,0,0.5,4,0.5,0,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,2,4.71,0,0,0,0.5,5,0.4,67,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,1,3.69,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3,0,4,3.86,0,0,1,0.75,2.666666667,0.5,96,9,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
4,1,0,1,3.93,0,0,0,1,4,0.25,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,4.93,0,0,0,1,4,0.25,38,3,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,1,0,1,4.65,0,0,0,1,3,0.333333333,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,3.83,0,0,0,0.666666667,4,0.375,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1,0,1,4.95,0,0,0,1,4,0.25,39,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,3,2.67,0,0,0,0.666666667,2.5,0.6,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1,0,1,4.13,0,0,0,1,5,0.2,69,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,2,5.06,0,0,0,0.5,5,0.4,85,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2,0,2,3.49,0,0,0,1,2.5,0.4,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,4.66,0,0,0,1,4,0.25,30,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,1,0,1,4.4,0,0,0,1,4,0.25,39,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,4.16,0,1,0,1,5,0.2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2,0,2,4.07,0,0,0,1,2.5,0.4,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,3,0,4,2,0,0,1,0.75,3,0.444444444,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,2,4.62,0,1,0,1,2.5,0.4,0,4,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,3.93,0,0,0,1,4,0.25,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,1,0,1,3.69,0,0,0,1,6,0.166666667,0,4,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,4.34,0,0,0,1,4,0.25,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1,0,2,3.7,0,0,0,0.5,5,0.4,52,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,4.01,0,0,0,1,4,0.25,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,1,4.05,0,0,0,1,4,0.25,32,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,3,3.48,0,0,1,0.666666667,3.5,0.428571429,0,5,-2,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5,1,0,1,4.81,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,3.55,0,0,0,0.5,4,0.5,0,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,0,1,5.02,0,0,0,1,3,0.333333333,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,4.13,0,0,1,0.75,2.666666667,0.5,96,9,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0
5,1,0,2,4.56,0,0,0,0.5,5,0.4,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,0,1,4.66,0,0,0,1,4,0.25,30,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1,0,2,4.52,0,0,0,0.5,5,0.4,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,4.42,0,1,0,1,4,0.25,0,3,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,2,3.82,0,0,0,0.5,4,0.5,57,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,3,0,4,2,0,0,1,0.75,3,0.444444444,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,1,3.6,0,0,0,1,3,0.333333333,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,4.71,0,0,0,0.5,5,0.4,67,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,2,5.05,0,0,0,0.5,7,0.285714286,0,5,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,4.2,0,0,0,1,3,0.333333333,17,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,2,4.14,0,0,0,1,3.5,0.285714286,0,6,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,3.73,0,0,0,1,3,0.333333333,22,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2,0,3,3.8,0,0,0,0.666666667,3.5,0.428571429,93,5,-2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,2,0,2,4.03,0,0,0,1,3,0.333333333,0,5,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,2,0,2,3.37,0,0,1,1,2.5,0.4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,4.34,1,0,0,0.5,5,0.4,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,2,4.55,0,0,0,0.5,5,0.4,66,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,0,2,3.92,0,0,0,0.5,5,0.4,97,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,0,5,3.08,0,0,1,0.8,2.75,0.454545455,0,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,3.89,0,0,0,1,3,0.333333333,20,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,3,4.58,0,0,0,0.666666667,3.5,0.428571429,93,5,-2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,10,3,0,3,4.16,0,0,0,1,3.333333333,0.3,0,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
3,1,0,1,3.84,0,0,0,1,3,0.333333333,40,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,0,1,3.96,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,0,1,4.1,0,0,0,1,3,0.333333333,7,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,4.66,0,0,0,0.5,4,0.5,55,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4,1,0,1,3.92,0,0,0,1,4,0.25,29,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,3,4.49,0,1,0,0.666666667,3.5,0.428571429,0,5,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2,0,3,3.76,0,0,0,0.666666667,3,0.5,0,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,0,1,3.81,0,0,0,1,3,0.333333333,41,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,0,2,4.09,0,0,0,1,3,0.333333333,0,4,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,2.96,0,0,0,1,4,0.25,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,1,4.51,0,0,0,1,4,0.25,73,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,3.9,0,0,0,1,3,0.333333333,21,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2,0,3,5.88,0,0,0,0.666666667,2.5,0.6,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,2,5.13,0,0,0,0.5,5,0.4,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,1,3.88,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,2,3.05,0,0,0,0.5,4,0.5,63,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4,1,0,2,3.55,0,0,0,0.5,4,0.5,59,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,1,3.55,0,0,0,1,5,0.2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,1,0,1,6.02,0,0,0,1,3,0.333333333,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,4,2.7,0,0,0,0.5,4.5,0.444444444,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,2,0,3,5.07,0,0,0,0.666666667,4,0.375,0,8,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,5,1,0,2,5.19,1,0,0,0.5,5,0.4,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
